season,competition,league_tier,ssn_comp_game_no,ranking,pld,pts,manager
2020/21,League Two,4.0,33.0,4.0,33.0,57,Keith Hill
2020/21,League Two,4.0,32.0,5.0,32.0,54,Keith Hill
2020/21,League Two,4.0,31.0,4.0,31.0,54,Keith Hill
2020/21,League Two,4.0,30.0,4.0,30.0,51,Keith Hill
2020/21,League Two,4.0,29.0,5.0,29.0,48,Keith Hill
2020/21,League Two,4.0,28.0,6.0,28.0,45,Keith Hill
2020/21,League Two,4.0,27.0,4.0,27.0,44,Keith Hill
2020/21,League Two,4.0,26.0,3.0,26.0,44,Keith Hill
2020/21,League Two,4.0,25.0,5.0,25.0,41,Keith Hill
2020/21,League Two,4.0,24.0,8.0,24.0,38,Keith Hill
2020/21,League Two,4.0,23.0,10.0,23.0,35,Keith Hill
2020/21,League Two,4.0,22.0,11.0,22.0,32,Keith Hill
2020/21,League Two,4.0,21.0,15.0,21.0,29,Keith Hill
2020/21,League Two,4.0,20.0,13.0,20.0,28,Keith Hill
2020/21,League Two,4.0,19.0,13.0,19.0,27,Keith Hill
2020/21,League Two,4.0,18.0,13.0,18.0,27,Keith Hill
2020/21,League Two,4.0,17.0,12.0,17.0,24,Keith Hill
2020/21,League Two,4.0,16.0,10.0,16.0,24,Keith Hill
2020/21,League Two,4.0,15.0,7.0,15.0,24,Keith Hill
2020/21,League Two,4.0,14.0,9.0,14.0,21,Keith Hill
2020/21,League Two,4.0,13.0,13.0,13.0,18,Ian Dawes
2020/21,League Two,4.0,12.0,15.0,12.0,15,Ian Dawes
2020/21,League Two,4.0,11.0,17.0,11.0,12,Ian Dawes
2020/21,League Two,4.0,10.0,18.0,10.0,9,Michael Jackson
2020/21,League Two,4.0,9.0,17.0,9.0,9,Michael Jackson
2020/21,League Two,4.0,8.0,16.0,8.0,9,Michael Jackson
2020/21,League Two,4.0,7.0,17.0,7.0,6,Michael Jackson
2020/21,League Two,4.0,6.0,16.0,6.0,6,Michael Jackson
2020/21,League Two,4.0,5.0,13.0,5.0,6,Michael Jackson
2020/21,League Two,4.0,4.0,15.0,4.0,5,Michael Jackson
2020/21,League Two,4.0,3.0,20.0,3.0,2,Michael Jackson
2020/21,League Two,4.0,2.0,20.0,2.0,1,Michael Jackson
2020/21,League Two,4.0,1.0,14.0,1.0,1,Michael Jackson
2019/20,League One,3.0,34.0,21.0,34.0,32,Micky Mellon
2019/20,League One,3.0,33.0,21.0,33.0,29,Micky Mellon
2019/20,League One,3.0,32.0,21.0,32.0,26,Micky Mellon
2019/20,League One,3.0,31.0,21.0,31.0,23,Micky Mellon
2019/20,League One,3.0,30.0,21.0,30.0,23,Micky Mellon
2019/20,League One,3.0,29.0,21.0,29.0,22,Micky Mellon
2019/20,League One,3.0,28.0,21.0,28.0,22,Micky Mellon
2019/20,League One,3.0,27.0,21.0,27.0,22,Micky Mellon
2019/20,League One,3.0,26.0,21.0,26.0,22,Micky Mellon
2019/20,League One,3.0,25.0,21.0,25.0,22,Micky Mellon
2019/20,League One,3.0,24.0,21.0,24.0,22,Micky Mellon
2019/20,League One,3.0,23.0,21.0,23.0,21,Micky Mellon
2019/20,League One,3.0,22.0,20.0,22.0,21,Micky Mellon
2019/20,League One,3.0,21.0,20.0,21.0,20,Micky Mellon
2019/20,League One,3.0,20.0,20.0,20.0,20,Micky Mellon
2019/20,League One,3.0,19.0,20.0,19.0,17,Micky Mellon
2019/20,League One,3.0,18.0,20.0,18.0,17,Micky Mellon
2019/20,League One,3.0,17.0,20.0,17.0,16,Micky Mellon
2019/20,League One,3.0,16.0,18.0,16.0,16,Micky Mellon
2019/20,League One,3.0,15.0,18.0,15.0,16,Micky Mellon
2019/20,League One,3.0,14.0,20.0,14.0,13,Micky Mellon
2019/20,League One,3.0,13.0,17.0,13.0,13,Micky Mellon
2019/20,League One,3.0,12.0,18.0,12.0,12,Micky Mellon
2019/20,League One,3.0,11.0,20.0,11.0,9,Micky Mellon
2019/20,League One,3.0,10.0,20.0,10.0,9,Micky Mellon
2019/20,League One,3.0,9.0,18.0,9.0,9,Micky Mellon
2019/20,League One,3.0,8.0,19.0,8.0,6,Micky Mellon
2019/20,League One,3.0,7.0,19.0,7.0,5,Micky Mellon
2019/20,League One,3.0,6.0,17.0,6.0,5,Micky Mellon
2019/20,League One,3.0,5.0,19.0,5.0,4,Micky Mellon
2019/20,League One,3.0,4.0,18.0,4.0,3,Micky Mellon
2019/20,League One,3.0,3.0,13.0,3.0,3,Micky Mellon
2019/20,League One,3.0,2.0,20.0,2.0,0,Micky Mellon
2019/20,League One,3.0,1.0,14.0,1.0,0,Micky Mellon
2018/19,League Two,4.0,46.0,6.0,46.0,73,Micky Mellon
2018/19,League Two,4.0,45.0,6.0,45.0,73,Micky Mellon
2018/19,League Two,4.0,44.0,6.0,44.0,72,Micky Mellon
2018/19,League Two,4.0,43.0,5.0,43.0,71,Micky Mellon
2018/19,League Two,4.0,42.0,5.0,42.0,71,Micky Mellon
2018/19,League Two,4.0,41.0,5.0,41.0,68,Micky Mellon
2018/19,League Two,4.0,40.0,5.0,40.0,67,Micky Mellon
2018/19,League Two,4.0,39.0,5.0,39.0,67,Micky Mellon
2018/19,League Two,4.0,38.0,5.0,38.0,64,Micky Mellon
2018/19,League Two,4.0,37.0,5.0,37.0,61,Micky Mellon
2018/19,League Two,4.0,36.0,5.0,36.0,58,Micky Mellon
2018/19,League Two,4.0,35.0,6.0,35.0,55,Micky Mellon
2018/19,League Two,4.0,34.0,9.0,34.0,52,Micky Mellon
2018/19,League Two,4.0,33.0,9.0,33.0,49,Micky Mellon
2018/19,League Two,4.0,32.0,11.0,32.0,46,Micky Mellon
2018/19,League Two,4.0,31.0,10.0,31.0,45,Micky Mellon
2018/19,League Two,4.0,30.0,10.0,30.0,42,Micky Mellon
2018/19,League Two,4.0,29.0,10.0,29.0,42,Micky Mellon
2018/19,League Two,4.0,28.0,10.0,28.0,42,Micky Mellon
2018/19,League Two,4.0,27.0,9.0,27.0,42,Micky Mellon
2018/19,League Two,4.0,26.0,9.0,26.0,39,Micky Mellon
2018/19,League Two,4.0,25.0,9.0,25.0,38,Micky Mellon
2018/19,League Two,4.0,24.0,8.0,24.0,37,Micky Mellon
2018/19,League Two,4.0,23.0,9.0,23.0,34,Micky Mellon
2018/19,League Two,4.0,22.0,8.0,22.0,34,Micky Mellon
2018/19,League Two,4.0,21.0,7.0,21.0,34,Micky Mellon
2018/19,League Two,4.0,20.0,8.0,20.0,31,Micky Mellon
2018/19,League Two,4.0,19.0,7.0,19.0,31,Micky Mellon
2018/19,League Two,4.0,18.0,7.0,18.0,30,Micky Mellon
2018/19,League Two,4.0,17.0,4.0,17.0,30,Micky Mellon
2018/19,League Two,4.0,16.0,7.0,16.0,27,Micky Mellon
2018/19,League Two,4.0,15.0,7.0,15.0,24,Micky Mellon
2018/19,League Two,4.0,14.0,6.0,14.0,24,Micky Mellon
2018/19,League Two,4.0,13.0,4.0,13.0,23,Micky Mellon
2018/19,League Two,4.0,12.0,7.0,12.0,20,Micky Mellon
2018/19,League Two,4.0,11.0,10.0,11.0,17,Micky Mellon
2018/19,League Two,4.0,10.0,15.0,10.0,14,Micky Mellon
2018/19,League Two,4.0,9.0,12.0,9.0,13,Micky Mellon
2018/19,League Two,4.0,8.0,8.0,8.0,13,Micky Mellon
2018/19,League Two,4.0,7.0,14.0,7.0,10,Micky Mellon
2018/19,League Two,4.0,6.0,11.0,6.0,9,Micky Mellon
2018/19,League Two,4.0,5.0,9.0,5.0,8,Micky Mellon
2018/19,League Two,4.0,4.0,14.0,4.0,5,Micky Mellon
2018/19,League Two,4.0,3.0,13.0,3.0,4,Micky Mellon
2018/19,League Two,4.0,2.0,8.0,2.0,4,Micky Mellon
2018/19,League Two,4.0,1.0,11.0,1.0,1,Micky Mellon
2017/18,National League,5.0,46.0,2.0,46.0,82,Micky Mellon
2017/18,National League,5.0,45.0,2.0,45.0,82,Micky Mellon
2017/18,National League,5.0,44.0,2.0,44.0,82,Micky Mellon
2017/18,National League,5.0,43.0,2.0,43.0,79,Micky Mellon
2017/18,National League,5.0,42.0,2.0,42.0,76,Micky Mellon
2017/18,National League,5.0,41.0,2.0,41.0,73,Micky Mellon
2017/18,National League,5.0,40.0,4.0,40.0,70,Micky Mellon
2017/18,National League,5.0,39.0,3.0,39.0,67,Micky Mellon
2017/18,National League,5.0,38.0,4.0,38.0,64,Micky Mellon
2017/18,National League,5.0,37.0,3.0,37.0,64,Micky Mellon
2017/18,National League,5.0,36.0,3.0,36.0,61,Micky Mellon
2017/18,National League,5.0,35.0,6.0,35.0,58,Micky Mellon
2017/18,National League,5.0,34.0,2.0,34.0,58,Micky Mellon
2017/18,National League,5.0,33.0,4.0,33.0,55,Micky Mellon
2017/18,National League,5.0,32.0,4.0,32.0,54,Micky Mellon
2017/18,National League,5.0,31.0,5.0,31.0,51,Micky Mellon
2017/18,National League,5.0,30.0,5.0,30.0,50,Micky Mellon
2017/18,National League,5.0,29.0,5.0,29.0,47,Micky Mellon
2017/18,National League,5.0,28.0,7.0,28.0,44,Micky Mellon
2017/18,National League,5.0,27.0,7.0,27.0,43,Micky Mellon
2017/18,National League,5.0,26.0,6.0,26.0,43,Micky Mellon
2017/18,National League,5.0,25.0,6.0,25.0,40,Micky Mellon
2017/18,National League,5.0,24.0,9.0,24.0,37,Micky Mellon
2017/18,National League,5.0,23.0,9.0,23.0,34,Micky Mellon
2017/18,National League,5.0,22.0,11.0,22.0,31,Micky Mellon
2017/18,National League,5.0,21.0,14.0,21.0,28,Micky Mellon
2017/18,National League,5.0,20.0,15.0,20.0,27,Micky Mellon
2017/18,National League,5.0,19.0,13.0,19.0,27,Micky Mellon
2017/18,National League,5.0,18.0,14.0,18.0,24,Micky Mellon
2017/18,National League,5.0,17.0,16.0,17.0,21,Micky Mellon
2017/18,National League,5.0,16.0,15.0,16.0,20,Micky Mellon
2017/18,National League,5.0,15.0,15.0,15.0,20,Micky Mellon
2017/18,National League,5.0,14.0,14.0,14.0,19,Micky Mellon
2017/18,National League,5.0,13.0,17.0,13.0,16,Micky Mellon
2017/18,National League,5.0,12.0,18.0,12.0,13,Micky Mellon
2017/18,National League,5.0,11.0,17.0,11.0,13,Micky Mellon
2017/18,National League,5.0,10.0,16.0,10.0,12,Micky Mellon
2017/18,National League,5.0,9.0,14.0,9.0,12,Micky Mellon
2017/18,National League,5.0,8.0,18.0,8.0,9,Micky Mellon
2017/18,National League,5.0,7.0,15.0,7.0,9,Micky Mellon
2017/18,National League,5.0,6.0,19.0,6.0,6,Micky Mellon
2017/18,National League,5.0,5.0,15.0,5.0,5,Micky Mellon
2017/18,National League,5.0,4.0,14.0,4.0,5,Micky Mellon
2017/18,National League,5.0,3.0,13.0,3.0,4,Micky Mellon
2017/18,National League,5.0,2.0,4.0,2.0,4,Micky Mellon
2017/18,National League,5.0,1.0,16.0,1.0,1,Micky Mellon
2016/17,National League,5.0,46.0,2.0,46.0,95,Micky Mellon
2016/17,National League,5.0,45.0,2.0,45.0,92,Micky Mellon
2016/17,National League,5.0,44.0,2.0,44.0,89,Micky Mellon
2016/17,National League,5.0,43.0,2.0,43.0,86,Micky Mellon
2016/17,National League,5.0,42.0,2.0,42.0,85,Micky Mellon
2016/17,National League,5.0,41.0,2.0,41.0,85,Micky Mellon
2016/17,National League,5.0,40.0,2.0,40.0,82,Micky Mellon
2016/17,National League,5.0,39.0,2.0,39.0,79,Micky Mellon
2016/17,National League,5.0,38.0,2.0,38.0,76,Micky Mellon
2016/17,National League,5.0,37.0,3.0,37.0,73,Micky Mellon
2016/17,National League,5.0,36.0,3.0,36.0,70,Micky Mellon
2016/17,National League,5.0,35.0,4.0,35.0,67,Micky Mellon
2016/17,National League,5.0,34.0,3.0,34.0,66,Micky Mellon
2016/17,National League,5.0,33.0,2.0,33.0,66,Micky Mellon
2016/17,National League,5.0,32.0,3.0,32.0,63,Micky Mellon
2016/17,National League,5.0,31.0,4.0,31.0,60,Micky Mellon
2016/17,National League,5.0,30.0,4.0,30.0,57,Micky Mellon
2016/17,National League,5.0,29.0,3.0,29.0,56,Micky Mellon
2016/17,National League,5.0,28.0,4.0,28.0,53,Micky Mellon
2016/17,National League,5.0,27.0,2.0,27.0,53,Micky Mellon
2016/17,National League,5.0,26.0,1.0,26.0,53,Micky Mellon
2016/17,National League,5.0,25.0,2.0,25.0,50,Micky Mellon
2016/17,National League,5.0,24.0,1.0,24.0,50,Micky Mellon
2016/17,National League,5.0,23.0,3.0,23.0,47,Micky Mellon
2016/17,National League,5.0,22.0,4.0,22.0,44,Micky Mellon
2016/17,National League,5.0,21.0,5.0,21.0,41,Micky Mellon
2016/17,National League,5.0,20.0,3.0,20.0,40,Micky Mellon
2016/17,National League,5.0,19.0,3.0,19.0,37,Micky Mellon
2016/17,National League,5.0,18.0,4.0,18.0,36,Micky Mellon
2016/17,National League,5.0,17.0,4.0,17.0,33,Micky Mellon
2016/17,National League,5.0,16.0,4.0,16.0,30,Micky Mellon
2016/17,National League,5.0,15.0,7.0,15.0,27,Micky Mellon
2016/17,National League,5.0,14.0,9.0,14.0,24,Paul Carden
2016/17,National League,5.0,13.0,7.0,13.0,24,Paul Carden
2016/17,National League,5.0,12.0,4.0,12.0,23,Paul Carden
2016/17,National League,5.0,11.0,5.0,11.0,20,Gary Brabin
2016/17,National League,5.0,10.0,4.0,10.0,20,Gary Brabin
2016/17,National League,5.0,9.0,3.0,9.0,19,Gary Brabin
2016/17,National League,5.0,8.0,2.0,8.0,19,Gary Brabin
2016/17,National League,5.0,7.0,1.0,7.0,19,Gary Brabin
2016/17,National League,5.0,6.0,1.0,6.0,16,Gary Brabin
2016/17,National League,5.0,5.0,1.0,5.0,15,Gary Brabin
2016/17,National League,5.0,4.0,1.0,4.0,12,Gary Brabin
2016/17,National League,5.0,3.0,1.0,3.0,9,Gary Brabin
2016/17,National League,5.0,2.0,4.0,2.0,6,Gary Brabin
2016/17,National League,5.0,1.0,6.0,1.0,3,Gary Brabin
2015/16,National League,5.0,1.0,9.0,1.0,3,Gary Brabin
2015/16,National League,5.0,2.0,2.0,2.0,6,Gary Brabin
2015/16,National League,5.0,3.0,4.0,3.0,7,Gary Brabin
2015/16,National League,5.0,4.0,2.0,4.0,10,Gary Brabin
2015/16,National League,5.0,5.0,5.0,5.0,10,Gary Brabin
2015/16,National League,5.0,6.0,8.0,6.0,10,Gary Brabin
2015/16,National League,5.0,7.0,9.0,7.0,11,Gary Brabin
2015/16,National League,5.0,8.0,10.0,8.0,12,Gary Brabin
2015/16,National League,5.0,9.0,8.0,9.0,15,Gary Brabin
2015/16,National League,5.0,10.0,8.0,10.0,16,Gary Brabin
2015/16,National League,5.0,11.0,8.0,11.0,17,Gary Brabin
2015/16,National League,5.0,12.0,7.0,12.0,20,Gary Brabin
2015/16,National League,5.0,13.0,6.0,13.0,23,Gary Brabin
2015/16,National League,5.0,14.0,3.0,14.0,26,Gary Brabin
2015/16,National League,5.0,15.0,3.0,15.0,27,Gary Brabin
2015/16,National League,5.0,16.0,5.0,16.0,27,Gary Brabin
2015/16,National League,5.0,17.0,7.0,17.0,27,Gary Brabin
2015/16,National League,5.0,18.0,5.0,18.0,30,Gary Brabin
2015/16,National League,5.0,19.0,10.0,19.0,30,Gary Brabin
2015/16,National League,5.0,20.0,12.0,20.0,30,Gary Brabin
2015/16,National League,5.0,21.0,10.0,21.0,33,Gary Brabin
2015/16,National League,5.0,22.0,10.0,22.0,33,Gary Brabin
2015/16,National League,5.0,23.0,10.0,23.0,34,Gary Brabin
2015/16,National League,5.0,24.0,12.0,24.0,34,Gary Brabin
2015/16,National League,5.0,25.0,12.0,25.0,35,Gary Brabin
2015/16,National League,5.0,26.0,11.0,26.0,38,Gary Brabin
2015/16,National League,5.0,27.0,8.0,27.0,41,Gary Brabin
2015/16,National League,5.0,28.0,9.0,28.0,41,Gary Brabin
2015/16,National League,5.0,29.0,8.0,29.0,44,Gary Brabin
2015/16,National League,5.0,30.0,8.0,30.0,47,Gary Brabin
2015/16,National League,5.0,31.0,5.0,31.0,50,Gary Brabin
2015/16,National League,5.0,32.0,4.0,32.0,53,Gary Brabin
2015/16,National League,5.0,33.0,4.0,33.0,54,Gary Brabin
2015/16,National League,5.0,34.0,4.0,34.0,54,Gary Brabin
2015/16,National League,5.0,35.0,4.0,35.0,57,Gary Brabin
2015/16,National League,5.0,36.0,5.0,36.0,60,Gary Brabin
2015/16,National League,5.0,37.0,5.0,37.0,61,Gary Brabin
2015/16,National League,5.0,38.0,4.0,38.0,62,Gary Brabin
2015/16,National League,5.0,39.0,6.0,39.0,63,Gary Brabin
2015/16,National League,5.0,40.0,5.0,40.0,66,Gary Brabin
2015/16,National League,5.0,41.0,4.0,41.0,69,Gary Brabin
2015/16,National League,5.0,42.0,5.0,42.0,69,Gary Brabin
2015/16,National League,5.0,43.0,5.0,43.0,72,Gary Brabin
2015/16,National League,5.0,44.0,7.0,44.0,72,Gary Brabin
2015/16,National League,5.0,45.0,6.0,45.0,75,Gary Brabin
2015/16,National League,5.0,46.0,6.0,46.0,78,Gary Brabin
2014/15,League Two,4.0,46.0,24.0,46.0,39,Alan Rogers
2014/15,League Two,4.0,45.0,24.0,45.0,39,Alan Rogers
2014/15,League Two,4.0,44.0,24.0,44.0,39,Mickey Adams
2014/15,League Two,4.0,43.0,24.0,43.0,39,Mickey Adams
2014/15,League Two,4.0,42.0,23.0,42.0,39,Mickey Adams
2014/15,League Two,4.0,41.0,23.0,41.0,39,Mickey Adams
2014/15,League Two,4.0,40.0,23.0,40.0,39,Mickey Adams
2014/15,League Two,4.0,39.0,23.0,39.0,38,Mickey Adams
2014/15,League Two,4.0,38.0,22.0,38.0,37,Mickey Adams
2014/15,League Two,4.0,37.0,22.0,37.0,37,Mickey Adams
2014/15,League Two,4.0,36.0,23.0,36.0,34,Mickey Adams
2014/15,League Two,4.0,35.0,23.0,35.0,34,Mickey Adams
2014/15,League Two,4.0,34.0,22.0,34.0,34,Mickey Adams
2014/15,League Two,4.0,33.0,20.0,33.0,34,Mickey Adams
2014/15,League Two,4.0,32.0,20.0,32.0,34,Mickey Adams
2014/15,League Two,4.0,31.0,20.0,31.0,34,Mickey Adams
2014/15,League Two,4.0,30.0,22.0,30.0,31,Mickey Adams
2014/15,League Two,4.0,29.0,20.0,29.0,31,Mickey Adams
2014/15,League Two,4.0,28.0,21.0,28.0,30,Mickey Adams
2014/15,League Two,4.0,27.0,17.0,27.0,30,Mickey Adams
2014/15,League Two,4.0,26.0,21.0,26.0,27,Mickey Adams
2014/15,League Two,4.0,25.0,22.0,25.0,26,Mickey Adams
2014/15,League Two,4.0,24.0,23.0,24.0,23,Mickey Adams
2014/15,League Two,4.0,23.0,22.0,23.0,22,Mickey Adams
2014/15,League Two,4.0,22.0,23.0,22.0,19,Mickey Adams
2014/15,League Two,4.0,21.0,21.0,21.0,19,Mickey Adams
2014/15,League Two,4.0,20.0,22.0,20.0,18,Mickey Adams
2014/15,League Two,4.0,19.0,23.0,19.0,15,Mickey Adams
2014/15,League Two,4.0,18.0,23.0,18.0,12,Mickey Adams
2014/15,League Two,4.0,17.0,23.0,17.0,12,Mickey Adams
2014/15,League Two,4.0,16.0,23.0,16.0,12,Mickey Adams
2014/15,League Two,4.0,15.0,23.0,15.0,11,Mickey Adams
2014/15,League Two,4.0,14.0,24.0,14.0,10,Mickey Adams
2014/15,League Two,4.0,13.0,24.0,13.0,9,Mickey Adams
2014/15,League Two,4.0,12.0,24.0,12.0,9,Rob Edwards
2014/15,League Two,4.0,11.0,22.0,11.0,9,Rob Edwards
2014/15,League Two,4.0,10.0,20.0,10.0,9,Rob Edwards
2014/15,League Two,4.0,9.0,18.0,9.0,9,Rob Edwards
2014/15,League Two,4.0,8.0,15.0,8.0,9,Rob Edwards
2014/15,League Two,4.0,7.0,14.0,7.0,8,Rob Edwards
2014/15,League Two,4.0,6.0,15.0,6.0,7,Rob Edwards
2014/15,League Two,4.0,5.0,11.0,5.0,7,Rob Edwards
2014/15,League Two,4.0,4.0,15.0,4.0,4,Rob Edwards
2014/15,League Two,4.0,3.0,11.0,3.0,4,Rob Edwards
2014/15,League Two,4.0,2.0,17.0,2.0,1,Rob Edwards
2014/15,League Two,4.0,1.0,12.0,1.0,1,Rob Edwards
2013/14,League One,3.0,46.0,21.0,46.0,47,John McMahon
2013/14,League One,3.0,45.0,21.0,45.0,47,John McMahon
2013/14,League One,3.0,44.0,19.0,44.0,47,John McMahon
2013/14,League One,3.0,43.0,19.0,43.0,46,John McMahon
2013/14,League One,3.0,42.0,19.0,42.0,46,John McMahon
2013/14,League One,3.0,41.0,19.0,41.0,46,John McMahon
2013/14,League One,3.0,40.0,19.0,40.0,43,Ronnie Moore
2013/14,League One,3.0,39.0,20.0,39.0,40,Ronnie Moore
2013/14,League One,3.0,38.0,20.0,38.0,39,Ronnie Moore
2013/14,League One,3.0,37.0,20.0,37.0,39,Ronnie Moore
2013/14,League One,3.0,36.0,19.0,36.0,39,Ronnie Moore
2013/14,League One,3.0,35.0,21.0,35.0,36,Ronnie Moore
2013/14,League One,3.0,34.0,20.0,34.0,36,Ronnie Moore
2013/14,League One,3.0,33.0,18.0,33.0,36,Ronnie Moore
2013/14,League One,3.0,32.0,18.0,32.0,35,Ronnie Moore
2013/14,League One,3.0,31.0,18.0,31.0,32,Ronnie Moore
2013/14,League One,3.0,30.0,17.0,30.0,31,Ronnie Moore
2013/14,League One,3.0,29.0,17.0,29.0,31,Ronnie Moore
2013/14,League One,3.0,28.0,18.0,28.0,28,Ronnie Moore
2013/14,League One,3.0,27.0,17.0,27.0,28,Ronnie Moore
2013/14,League One,3.0,26.0,21.0,26.0,25,Ronnie Moore
2013/14,League One,3.0,25.0,20.0,25.0,25,Ronnie Moore
2013/14,League One,3.0,24.0,20.0,24.0,24,Ronnie Moore
2013/14,League One,3.0,23.0,20.0,23.0,23,Ronnie Moore
2013/14,League One,3.0,22.0,19.0,22.0,23,Ronnie Moore
2013/14,League One,3.0,21.0,20.0,21.0,20,Ronnie Moore
2013/14,League One,3.0,20.0,20.0,20.0,20,Ronnie Moore
2013/14,League One,3.0,19.0,19.0,19.0,20,Ronnie Moore
2013/14,League One,3.0,18.0,20.0,18.0,17,Ronnie Moore
2013/14,League One,3.0,17.0,19.0,17.0,17,Ronnie Moore
2013/14,League One,3.0,16.0,21.0,16.0,14,Ronnie Moore
2013/14,League One,3.0,15.0,20.0,15.0,13,Ronnie Moore
2013/14,League One,3.0,14.0,21.0,14.0,12,Ronnie Moore
2013/14,League One,3.0,13.0,22.0,13.0,9,Ronnie Moore
2013/14,League One,3.0,12.0,22.0,12.0,8,Ronnie Moore
2013/14,League One,3.0,11.0,21.0,11.0,8,Ronnie Moore
2013/14,League One,3.0,10.0,24.0,10.0,5,Ronnie Moore
